continent,Country,Name,Age,Fifa Score,Club,Value,Salary
Africa,Nigeria,A. Musa,24,76,Leicester City,1.05E7,65000.0
Europe,Netherlands,J. Boetius,23,76,Feyenoord,1.0E7,18000.0
South America,Brazil,Everton Andrao,33,76,Clube Atlético Paranaense,3100000.0,17000.0
Europe,Italy,L. Cigarini,31,76,Cagliari,6500000.0,54000.0
Europe,Italy,R. Meggiorini,31,76,Chievo Verona,7000000.0,23000.0
South America,Brazil,Michel Macedo,27,76,UD Las Palmas,7000000.0,22000.0
Europe,Belgium,S. Proto,34,76,Olympiakos CFP,3100000.0,1000.0
Europe,Switzerland,A. Mehmedi,26,76,Bayer 04 Leverkusen,9000000.0,56000.0
Asia,Turkey,C. Erkin,28,76,Beşiktaş JK,6000000.0,49000.0
Europe,Portugal,Eder,29,76,Lokomotiv Moscow,7500000.0,51000.0
Africa,Algeria,Y. Benzia,22,76,LOSC Lille,1.05E7,39000.0
South America,Chile,A. Rolis,33,76,Universidad Católica,3100000.0,9000.0
Europe,Portugal,Beto,35,76,Göztepe,1800000.0,11000.0
Europe,Romania,C. Pantilimon,30,76,RC Deportivo de La Coruña,4900000.0,43000.0
Europe,Italy,G. Lapadula,27,76,Genoa,9000000.0,96000.0
South America,Brazil,Denildo Stein,29,76,Grêmio Foot-Ball Porto Alegrense,7500000.0,31000.0
Europe,Netherlands,S. Padt,27,76,FC Groningen,6000000.0,11000.0
Europe,Serbia,M. Sulejmani,28,76,BSC Young Boys,8000000.0,28000.0
Africa,Cameroon,M. Matip,31,76,FC Ingolstadt 04,5000000.0,25000.0
Asia,Japan,Y. Muto,24,76,1. FSV Mainz 05,1.05E7,30000.0
Europe,Netherlands,L. de Jong,26,76,PSV,9000000.0,21000.0
Europe,France,A. Trebel,26,76,RSC Anderlecht,9000000.0,27000.0
Europe,France,M. Coco,21,76,En Avant de Guingamp,1.05E7,22000.0
Africa,Senegal,K. Babacar,24,76,Fiorentina,1.05E7,59000.0
Europe,Portugal,Renato Sanches,19,76,Swansea City,1.2E7,49000.0
South America,Argentina,M. Caruzzo,32,76,San Lorenzo de Almagro,4400000.0,23000.0
Asia,Israel,M. Dabbur,25,76,FC Red Bull Salzburg,1.0E7,38000.0
South America,Brazil,Rosberto Dourado,29,76,Clube Atlético Mineiro,6000000.0,37000.0
South America,Argentina,M. Izco,34,76,Crotone,3700000.0,16000.0
North America,Mexico,P. Aguilar,31,76,Club América,5000000.0,53000.0
Africa,Benin,S. Mounie,22,76,Huddersfield Town,1.1E7,50000.0
Europe,Germany,D. Brosinski,28,76,1. FSV Mainz 05,6000000.0,30000.0
Europe,Spain,Roger,26,76,Levante UD,9500000.0,29000.0
South America,Brazil,Dyego Sousa,27,76,SC Braga,8000000.0,16000.0
Africa,Morocco,N. Dirar,31,76,Fenerbahçe SK,7000000.0,66000.0
South America,Argentina,J. Datolo,33,76,Banfield,4700000.0,19000.0
Europe,Sweden,S. Larsson,24,76,Feyenoord,1.0E7,18000.0
Europe,France,B. Ketkeophomphone,27,76,Angers SCO,9000000.0,30000.0
Europe,Spain,Andres Fernandez,30,76,Villarreal CF,4900000.0,26000.0
Europe,Italy,A. Matri,32,76,Sassuolo,6000000.0,59000.0
Europe,Croatia,T. Jedvaj,21,76,Bayer 04 Leverkusen,1.0E7,36000.0
Europe,Spain,Boveda,28,76,Athletic Club de Bilbao,6000000.0,26000.0
Europe,Switzerland,F. Lustenberger,29,76,Hertha BSC Berlin,6000000.0,30000.0
Africa,Ghana,J. Ayew,25,76,Swansea City,1.0E7,71000.0
Europe,Italy,M. Storari,40,76,Milan,525000.0,38000.0
Europe,France,L. Diony,24,76,AS Saint-Étienne,1.0E7,37000.0
South America,Chile,E. Codesto,25,76,Colo-Colo,8500000.0,9000.0
Europe,Spain,Riesgo,33,76,SD Eibar,3900000.0,18000.0
Europe,Denmark,L. Andersen,22,76,Grasshopper Club Zürich,1.1E7,21000.0
South America,Brazil,Laure Santeiro,29,76,Cruzeiro,7500000.0,35000.0
Europe,Spain,Herrerin,29,76,Athletic Club de Bilbao,5000000.0,21000.0
Europe,Netherlands,G. van der Wiel,29,76,Cagliari,6000000.0,52000.0
South America,Argentina,F. Mussis,25,76,San Lorenzo de Almagro,8500000.0,22000.0
Europe,Poland,J. Baszczykowski,31,76,VfL Wolfsburg,7000000.0,60000.0
Europe,France,L. Deaux,28,76,En Avant de Guingamp,6000000.0,26000.0
Europe,Serbia,J. Vukovic,29,76,Olympiakos CFP,6000000.0,1000.0
Europe,Italy,L. Spinazzola,24,76,Atalanta,1.05E7,81000.0
Europe,France,A. Knockaert,25,76,Brighton & Hove Albion,9500000.0,50000.0
South America,Ecuador,E. Valencia,27,76,Tigres U.A.N.L.,9000000.0,70000.0
Asia,Georgia,G. Kashia,29,76,Vitesse,6000000.0,15000.0
Europe,Netherlands,R. Vlaar,32,76,AZ Alkmaar,4400000.0,13000.0
Europe,Belgium,S. Kums,29,76,RSC Anderlecht,7500000.0,28000.0
Europe,Portugal,Fabio Martins,23,76,SC Braga,1.05E7,13000.0
South America,Colombia,E. Balanta,24,76,FC Basel,9000000.0,32000.0
Europe,Germany,M. Schmiedebach,28,76,Hannover 96,6000000.0,41000.0
South America,Argentina,G. Peruzzi,25,76,Boca Juniors,8000000.0,23000.0
South America,Brazil,Maicon,27,76,Antalyaspor,8000000.0,22000.0
South America,Chile,N. Castillo,24,76,U.N.A.M.,1.05E7,25000.0
Europe,Germany,L. Oztunali,21,76,1. FSV Mainz 05,1.15E7,25000.0
Europe,Serbia,M. Jojic,25,76,1. FC Köln,9500000.0,36000.0
Europe,Spain,Santi Mina,21,76,Valencia CF,1.1E7,29000.0
Europe,Italy,G. Pazzini,32,76,Hellas Verona,6000000.0,34000.0
South America,Chile,W. Mansila,29,76,Universidad de Chile,7500000.0,18000.0
South America,Argentina,M. Boselli,32,76,Club León,6000000.0,38000.0
South America,Uruguay,M. Pereyra,27,76,FC Krasnodar,8500000.0,45000.0
Europe,Switzerland,V. Stocker,28,76,Hertha BSC Berlin,8000000.0,33000.0
South America,Venezuela,J. Anor,23,76,Málaga CF,1.25E7,23000.0
Europe,Italy,L. Antonelli,30,76,Milan,5500000.0,80000.0
Europe,France,K. Theophile-Catherine,27,76,AS Saint-Étienne,7500000.0,35000.0
Europe,Switzerland,B. Embolo,20,76,FC Schalke 04,1.4E7,35000.0
Europe,France,A. Letellier,26,76,Angers SCO,6500000.0,20000.0
Europe,Germany,A. Hahn,26,76,Hamburger SV,9000000.0,41000.0
Africa,Ghana,A. Duncan,24,76,Sassuolo,1.05E7,47000.0
Europe,Germany,M. Stendera,21,76,Eintracht Frankfurt,1.2E7,25000.0
Europe,Italy,A. Ranocchia,29,76,Inter,6000000.0,59000.0
South America,Chile,M. Isla,29,76,Fenerbahçe SK,6000000.0,63000.0
Europe,Portugal,Josue Sa,25,76,RSC Anderlecht,8500000.0,23000.0
South America,Brazil,Thiago Maia,20,76,LOSC Lille,9500000.0,31000.0
South America,Colombia,B. Espinosa,27,76,Girona CF,7500000.0,25000.0
South America,Argentina,I. Sosa,30,76,Tigres U.A.N.L.,7500000.0,65000.0
Europe,Serbia,N. Tomovic,29,76,Chievo Verona,6000000.0,59000.0
Europe,Serbia,L. Markovic,23,76,Liverpool,1.0E7,84000.0
South America,Paraguay,P. Aguilar,30,76,Club América,5500000.0,53000.0
Europe,Netherlands,N. Viergever,27,76,Ajax,6500000.0,14000.0
South America,Argentina,R. Civelli,33,76,Banfield,3100000.0,17000.0
Europe,France,S. De Maio,30,76,Bologna,5500000.0,50000.0
South America,Argentina,D. Cvitanich,33,76,Banfield,4800000.0,21000.0
Asia,Turkey,A. Sulu,31,76,SV Darmstadt 98,5000000.0,27000.0
Africa,Morocco,R. Saiss,27,76,Wolverhampton Wanderers,7500000.0,51000.0
South America,Brazil,Mauricio,28,76,PAOK Thessaloniki,6000000.0,1000.0
South America,Brazil,Gabri Prestao,25,76,Botafogo de Futebol e Regatas,5500000.0,16000.0
Europe,Spain,Carlos Soler,20,76,Valencia CF,1.2E7,26000.0
Europe,Spain,Serantes,27,76,CD Leganés,6000000.0,21000.0
South America,Argentina,E. Mas,28,76,Trabzonspor,6000000.0,34000.0
Europe,Portugal,Carlos Mane,23,76,VfB Stuttgart,1.05E7,16000.0
South America,Brazil,Fred Anibao,25,76,Avaí Futebol Clube,5500000.0,14000.0
South America,Paraguay,O. Romero,24,76,Deportivo Alavés,1.0E7,24000.0
South America,Brazil,Nelsildo Reis,29,76,Coritiba Foot Ball Club,5000000.0,21000.0
Europe,Spain,Laguardia,27,76,Deportivo Alavés,7500000.0,25000.0
Europe,Denmark,Y. Poulsen,23,76,RB Leipzig,1.1E7,58000.0
Asia,Turkey,O. Tufan,22,76,Fenerbahçe SK,8500000.0,52000.0
Europe,Poland,M. Pazdan,29,76,Legia Warszawa,6000000.0,13000.0
Europe,Spain,Camarasa,23,76,Real Betis Balompié,1.15E7,23000.0
Europe,Netherlands,D. van de Beek,20,76,Ajax,1.15E7,12000.0
South America,Peru,P. Hurtado,26,76,Vitória Guimarães,8500000.0,14000.0
Europe,France,J. Martin,27,76,RC Strasbourg,8500000.0,28000.0
South America,Colombia,O. Murillo,29,76,Pachuca,6000000.0,33000.0
Europe,Spain,Aythami Artiles,31,76,UD Las Palmas,5000000.0,22000.0
North America,Mexico,E. Gutierrez,22,76,Pachuca,1.1E7,30000.0
South America,Argentina,F. Ferreyra,26,76,Shakhtar Donetsk,9500000.0,1000.0
Europe,Spain,Adrian Gonzalez,29,76,Málaga CF,7500000.0,28000.0
Europe,Albania,M. Mavraj,31,76,Hamburger SV,5000000.0,35000.0
Europe,Germany,A. Hunt,30,76,Hamburger SV,7500000.0,38000.0
Europe,Germany,F. Niederlechner,26,76,SC Freiburg,9000000.0,31000.0
Europe,Netherlands,S. Denswil,24,76,Club Brugge KV,8500000.0,21000.0
Europe,France,A. Souquet,25,76,OGC Nice,8000000.0,31000.0
Asia,Turkey,S. Inan,32,76,Galatasaray SK,6000000.0,59000.0
Europe,France,A. Delort,25,76,Toulouse FC,1.0E7,35000.0
Europe,Italy,D. Gastaldello,34,76,Brescia,2300000.0,6000.0
South America,Chile,R. Bistama,29,76,Universidad Católica,6000000.0,9000.0
South America,Colombia,D. Moreno,31,76,Atletico Nacional Medellin,7000000.0,28000.0
Africa,Algeria,R. Ghezzal,25,76,AS Monaco,9500000.0,38000.0
South America,Brazil,Carlos Eduardo,27,76,Al Hilal,8000000.0,47000.0
Europe,France,R. Cabella,27,76,AS Saint-Étienne,8000000.0,32000.0
North America,Dominican Republic,Mariano,23,76,Olympique Lyonnais,1.05E7,59000.0
South America,Colombia,F. Montero,29,76,Vancouver Whitecaps FC,7500000.0,12000.0
Europe,Belgium,C. Musonda,20,76,Chelsea,1.2E7,80000.0
Europe,Spain,Cejudo,33,76,Western Sydney Wanderers,4700000.0,13000.0
Europe,Germany,S. Ulreich,28,76,FC Bayern Munich,5500000.0,68000.0
North America,Mexico,J. Vazquez,29,76,Guadalajara,6000000.0,55000.0
South America,Brazil,Welington Dano,29,76,Fluminense Football Club,6000000.0,40000.0
South America,Brazil,Raphinha,20,76,Vitória Guimarães,1.15E7,11000.0
Europe,Ukraine,O. Kucher,34,76,Kayserispor,2300000.0,17000.0
Europe,France,N. Mendy,25,76,OGC Nice,8500000.0,59000.0
South America,Brazil,Rodrigo Moledo,29,76,Panathinaikos FC,6000000.0,1000.0
Asia,Japan,H. Kiyotake,27,76,Cerezo Osaka,9000000.0,9000.0
Europe,Portugal,Daniel Podence,21,76,Sporting CP,1.15E7,16000.0
Europe,Belgium,E. Sen,28,76,CS Marítimo,6000000.0,12000.0
South America,Chile,L. Villasoel,25,76,Colo-Colo,7000000.0,8000.0
Europe,Portugal,Tarantini,33,76,Rio Ave FC,4500000.0,12000.0
Europe,France,I. Diop,20,76,Toulouse FC,1.15E7,23000.0
South America,Chile,D. Labran,33,76,Universidad de Chile,3100000.0,15000.0
Europe,Italy,C. Piccini,24,76,Sporting CP,9000000.0,15000.0
Europe,Poland,L. Skorupski,26,76,Roma,6500000.0,46000.0
Europe,France,M. Le Marchand,27,76,OGC Nice,8000000.0,33000.0
Europe,Switzerland,T. Klose,29,76,Norwich City,6000000.0,40000.0
Africa,Morocco,A. Regattin,25,76,Osmanlıspor,9000000.0,21000.0
Europe,Croatia,M. Pjaca,22,76,Juventus,1.25E7,89000.0
Europe,France,R. Vercoutre,37,76,SM Caen,525000.0,13000.0
Europe,Portugal,Jose Sa,24,76,FC Porto,7500000.0,10000.0
South America,Argentina,F. Cartabia,24,76,RC Deportivo de La Coruña,1.05E7,23000.0
Europe,Italy,D. Dainelli,38,76,Chievo Verona,1000000.0,14000.0
Europe,France,N. Pallois,29,76,FC Nantes,6000000.0,26000.0
South America,Chile,R. Lafrentz,29,76,Universidad de Chile,6000000.0,15000.0
Europe,Germany,B. Henrichs,20,76,Bayer 04 Leverkusen,1.1E7,36000.0
Europe,Belgium,D. Praet,23,76,Sampdoria,1.05E7,34000.0
North America,Mexico,J. Orozco,31,76,Santos Laguna,4700000.0,19000.0
Europe,Switzerland,Gelson Fernandes,30,76,Eintracht Frankfurt,5500000.0,29000.0
Europe,Portugal,Andre Almeida,26,76,SL Benfica,7500000.0,13000.0
Europe,France,C. Jullien,24,76,Toulouse FC,8500000.0,26000.0
South America,Brazil,Baiano,30,76,Rayo Vallecano,5500000.0,13000.0
South America,Brazil,Matheus,24,76,SC Braga,7500000.0,9000.0
South America,Colombia,A. Hurtado,30,76,Monterrey,7500000.0,63000.0
Europe,Italy,M. De Sciglio,24,76,Juventus,8500000.0,73000.0
South America,Argentina,J. Gomez,23,76,Club Atlético Lanús,9000000.0,16000.0
Europe,Lithuania,Z. Karcemarskas,34,76,Osmanlıspor,3100000.0,16000.0
South America,Brazil,Vieirundinho,29,76,Grêmio Foot-Ball Porto Alegrense,6000000.0,26000.0
Europe,Netherlands,M. de Ligt,17,76,Ajax,1.15E7,7000.0
Europe,Spain,Javi Espinosa,24,76,Granada CF,1.05E7,23000.0
Europe,Spain,Omar Mascarell,24,76,Eintracht Frankfurt,8500000.0,25000.0
South America,Argentina,C. Izquierdoz,28,76,Santos Laguna,7000000.0,25000.0
Europe,France,T. Heurtaux,28,76,Hellas Verona,6000000.0,30000.0
South America,Paraguay,J. Iturbe,24,76,Club Tijuana,9500000.0,59000.0
South America,Argentina,G. Simeone,21,76,Fiorentina,1.25E7,54000.0
South America,Argentina,E. Insua,28,76,VfB Stuttgart,6000000.0,28000.0
South America,Paraguay,C. Ortiz,28,76,Monterrey,7000000.0,55000.0
Europe,Germany,T. Kraft,28,76,Hertha BSC Berlin,5500000.0,25000.0
South America,Brazil,Seba,25,76,Olympiakos CFP,9500000.0,1000.0
Europe,Germany,D. Kohr,23,76,Bayer 04 Leverkusen,8500000.0,41000.0
Europe,Germany,M. Compper,32,76,RB Leipzig,4400000.0,55000.0
Asia,Israel,B. Natcho,29,76,CSKA Moscow,6000000.0,46000.0
Europe,Spain,Ibai Gomez,27,76,Deportivo Alavés,8000000.0,28000.0
South America,Brazil,Wanderson,31,76,Dinamo Moscow,7000000.0,42000.0
Europe,France,Y. Ravet,27,76,SC Freiburg,8000000.0,29000.0
South America,Peru,R. Ruidiaz,26,76,Monarcas Morelia,9000000.0,16000.0
Europe,Italy,F. Bardi,25,76,Frosinone,7000000.0,43000.0
South America,Brazil,Otavio,23,76,Girondins de Bordeaux,9000000.0,35000.0
Europe,Spain,Carlos Martinez,31,76,Real Sociedad,5000000.0,28000.0
North America,Mexico,J. Corona,36,76,Cruz Azul,1000000.0,17000.0
South America,Peru,C. Zambrano,27,76,PAOK Thessaloniki,7500000.0,1000.0
Europe,Greece,I. Fetfatzidis,26,76,Al Ahli,9000000.0,43000.0
Europe,Spain,Aleix Vidal,27,76,FC Barcelona,6500000.0,120000.0
South America,Venezuela,V. Garcia,23,76,Vitória Guimarães,9000000.0,11000.0
Europe,Slovenia,B. Jokic,31,76,FC Ufa,5000000.0,29000.0
Europe,Spain,Alberto Moreno,24,76,Liverpool,8000000.0,76000.0
Europe,Spain,Diego Rico,24,76,CD Leganés,8500000.0,22000.0
South America,Brazil,Mossoro,33,76,İstanbul Başakşehir FK,4700000.0,29000.0
Europe,Spain,Marc Muniesa,25,76,Girona CF,9000000.0,59000.0
Europe,Spain,Samu Saiz,26,76,Leeds United,9500000.0,40000.0
South America,Brazil,Felipe,32,75,Ferrara (SPAL),3800000.0,14000.0
South America,Chile,E. Roco,24,75,Cruz Azul,7000000.0,23000.0
Europe,Spain,Arribas,28,75,RC Deportivo de La Coruña,6500000.0,22000.0
South America,Argentina,G. Lezcano,30,75,Monarcas Morelia,6500000.0,13000.0
Europe,Switzerland,E. Derdiyok,29,75,Galatasaray SK,6500000.0,56000.0
Europe,Greece,D. Siovas,28,75,CD Leganés,5500000.0,22000.0
Europe,Denmark,L. Lerager,23,75,Girondins de Bordeaux,9000000.0,33000.0
Europe,Spain,Lomban,30,75,SD Eibar,4900000.0,18000.0
Europe,Spain,Mikel Gonzalez,31,75,Real Zaragoza,4500000.0,11000.0
Europe,Spain,Ivan Cuellar,33,75,CD Leganés,3400000.0,17000.0
South America,Brazil,Fabrio Farinha,25,75,Sociedade Esportiva Palmeiras,7000000.0,31000.0
Europe,Denmark,J. Lossl,28,75,Huddersfield Town,5500000.0,21000.0
South America,Argentina,R. Alvarez,29,75,Sampdoria,6500000.0,34000.0
Europe,Portugal,Rolando,31,75,Olympique de Marseille,4500000.0,25000.0
Europe,Spain,Fran Rico,29,75,SD Eibar,5000000.0,11000.0
South America,Brazil,Caiuby,28,75,FC Augsburg,6500000.0,25000.0
South America,Brazil,Gabriel,23,75,CD Leganés,9000000.0,20000.0
Europe,Spain,Alcala,28,75,Girona CF,5500000.0,22000.0
Asia,Israel,L. Refaelov,31,75,Club Brugge KV,6000000.0,24000.0
South America,Chile,J. Epazo,33,75,Deportes Iquique,3400000.0,3000.0
Europe,Serbia,M. Ninkovic,32,75,Sydney FC,5000000.0,11000.0
Europe,Italy,M. Maccarone,37,75,Brisbane Roar,2400000.0,7000.0
Africa,Senegal,D. Sakho,27,75,West Ham United,8000000.0,83000.0
Europe,Netherlands,J. Hendrix,22,75,PSV,8000000.0,13000.0
Europe,Germany,M. Esser,29,75,Hannover 96,4500000.0,28000.0
Europe,France,C. Grenier,26,75,Olympique Lyonnais,8000000.0,52000.0
Europe,Germany,Y. Gerhardt,23,75,VfL Wolfsburg,7500000.0,40000.0
Europe,Germany,R. Bauer,22,75,SV Werder Bremen,7000000.0,21000.0
South America,Brazil,Simao Donatinho,33,75,Clube Atlético Paranaense,3400000.0,12000.0
Europe,Germany,R. Knoche,25,75,VfL Wolfsburg,7000000.0,44000.0
Africa,Nigeria,L. Balogun,29,75,1. FSV Mainz 05,6000000.0,25000.0
Europe,Sweden,J. Durmaz,28,75,Toulouse FC,6500000.0,29000.0
Europe,Netherlands,N. Ake,22,75,Bournemouth,9500000.0,44000.0
Asia,Saudi Arabia,O. Hawsawi,33,75,Al Hilal,2700000.0,33000.0
South America,Brazil,Fransergio,26,75,SC Braga,8000000.0,12000.0
South America,Argentina,J. Silva,23,75,Sporting CP,7500000.0,12000.0
Africa,Morocco,F. Fajr,28,75,Getafe CF,6500000.0,23000.0
South America,Chile,R. Jardelino,29,75,Universidad Católica,5000000.0,8000.0
Europe,Italy,F. Chiesa,19,75,Fiorentina,1.15E7,29000.0
North America,Mexico,J. Hernandez,28,75,Pachuca,6000000.0,28000.0
Europe,Croatia,M. Livaja,23,75,AEK Athens,9000000.0,1000.0
Europe,Germany,P. Bargfrede,28,75,SV Werder Bremen,5500000.0,25000.0
Europe,Germany,C. Trasch,29,75,FC Ingolstadt 04,5000000.0,22000.0
Europe,Portugal,Eduardo,34,75,Chelsea,2700000.0,64000.0
Europe,Ukraine,R. Malinovskyi,24,75,KRC Genk,8500000.0,15000.0
Europe,Italy,D. D'Ambrosio,28,75,Inter,5500000.0,50000.0
South America,Chile,I. Herreras,25,75,Colo-Colo,6000000.0,7000.0
Europe,France,D. Lienard,29,75,RC Strasbourg,6500000.0,24000.0
Europe,France,Y. Pele,34,75,Olympique de Marseille,2700000.0,20000.0
South America,Argentina,G. Conti,22,75,Colon de Santa Fe,8500000.0,10000.0
Africa,Cape Verde,Garry Rodrigues,26,75,Galatasaray SK,8000000.0,50000.0
Europe,France,K. Malcuit,25,75,LOSC Lille,6500000.0,33000.0
Europe,Germany,A. Schwolow,25,75,SC Freiburg,6000000.0,17000.0
South America,Argentina,F. Di Santo,28,75,FC Schalke 04,7000000.0,38000.0
Europe,Portugal,Joao Aurelio,28,75,Vitória Guimarães,5500000.0,11000.0
Europe,Netherlands,M. Zeegelaar,26,75,Watford,5500000.0,44000.0
Europe,Switzerland,R. Freuler,25,75,Atalanta,8500000.0,25000.0
Europe,Spain,Joselu,27,75,Newcastle United,8000000.0,63000.0
Asia,Turkey,O. Sahiner,25,75,Atiker Konyaspor,8500000.0,18000.0
Europe,Portugal,Francisco Geraldes,22,75,Rio Ave FC,1.05E7,14000.0
South America,Uruguay,G. Castro,32,75,Málaga CF,5000000.0,22000.0
Europe,Spain,Jota Peleteiro,26,75,Birmingham City,8000000.0,31000.0
Europe,Netherlands,R. Bazoer,20,75,VfL Wolfsburg,1.0E7,40000.0
South America,Brazil,Silas Almeim,25,75,Clube Atlético Mineiro,6000000.0,28000.0
Europe,Germany,A. Beck,30,75,VfB Stuttgart,4800000.0,22000.0
Asia,Japan,G. Haraguchi,26,75,Hertha BSC Berlin,8000000.0,27000.0
South America,Chile,O. Budeaga,33,75,Colo-Colo,2600000.0,7000.0
Europe,France,C. Kerbrat,30,75,En Avant de Guingamp,4900000.0,21000.0
South America,Brazil,Rafael,35,75,Cagliari,1600000.0,22000.0
South America,Colombia,G. Celis,24,75,Vitória Guimarães,7500000.0,9000.0
Europe,Italy,M. Silvestre,32,75,Sampdoria,3800000.0,30000.0
South America,Chile,H. Lemonez,33,75,Unión Española,2700000.0,6000.0
South America,Brazil,Alexo Baia,29,75,Botafogo de Futebol e Regatas,5000000.0,18000.0
South America,Argentina,N. Spolli,34,75,Genoa,2000000.0,27000.0
South America,Colombia,A. Aguilar,32,75,Asociacion Deportivo Cali,3800000.0,4000.0
Europe,Serbia,S. Rajkovic,28,75,Palermo,6000000.0,5000.0
Europe,Portugal,Rafa Soares,22,75,Fulham,8500000.0,11000.0
South America,Brazil,Gabrisco Anibal,25,75,Sociedade Esportiva Palmeiras,6000000.0,28000.0
Europe,Germany,P. Wollscheid,28,75,FC Metz,5500000.0,15000.0
South America,Chile,H. Riffosas,29,75,Colo-Colo,5000000.0,8000.0
Europe,Spain,Miguel Torres,31,75,Málaga CF,4400000.0,21000.0
Europe,Portugal,Josue,26,75,Osmanlıspor,7000000.0,19000.0
South America,Uruguay,M. Britos,28,75,Al Hilal,7000000.0,41000.0
South America,Argentina,A. Bizzarri,39,75,Udinese,450000.0,11000.0
Europe,Netherlands,D. Sinkgraven,21,75,Ajax,7500000.0,9000.0
South America,Argentina,L. Vangioni,30,75,Monterrey,4800000.0,44000.0
Europe,Spain,David Garcia,23,75,CA Osasuna,8000000.0,9000.0
Africa,Nigeria,H. Onyekuru,20,75,RSC Anderlecht,1.1E7,64000.0
North America,Mexico,O. Pineda,21,75,Guadalajara,1.0E7,38000.0
South America,Brazil,Sandro,28,75,Antalyaspor,6000000.0,18000.0
Europe,Germany,F. Wiedwald,27,75,Leeds United,5500000.0,25000.0
South America,Chile,E. Vargas,27,75,Tigres U.A.N.L.,8000000.0,59000.0
Asia,Iran,A. Jahanbakhsh,23,75,AZ Alkmaar,8500000.0,11000.0
South America,Argentina,J. Calleri,23,75,UD Las Palmas,9500000.0,19000.0
South America,Brazil,Simao Acunha,29,75,Botafogo de Futebol e Regatas,6500000.0,20000.0
Europe,Montenegro,D. Damjanovic,35,75,FC Seoul,3100000.0,8000.0
Europe,Belgium,G. Bia,27,75,Kayserispor,7000000.0,16000.0
Africa,Ghana,E. Badu,26,75,Bursaspor,8000000.0,26000.0
Africa,Nigeria,M. Agu,24,75,Bursaspor,7500000.0,11000.0
Europe,France,G. Bussmann,26,75,1. FSV Mainz 05,6500000.0,24000.0
South America,Brazil,Allan Bardinho,25,75,Santos Futebol Clube,7000000.0,18000.0
Europe,Portugal,Andre Horta,20,75,SC Braga,1.0E7,10000.0
South America,Argentina,H. Villalba,22,75,Atlanta United FC,8500000.0,8000.0
Europe,France,L. Dubois,22,75,FC Nantes,8500000.0,18000.0
Europe,Norway,O. Selns,22,75,AS Saint-Étienne,7500000.0,25000.0
South America,Uruguay,A. Hernandez,26,75,Hull City,7500000.0,14000.0
Africa,Ghana,A. Wakaso,25,75,Vitória Guimarães,7500000.0,10000.0
South America,Brazil,Ailton Guevara,25,75,Clube Atlético Mineiro,7000000.0,31000.0
South America,Brazil,Naldo,28,75,RCD Espanyol,6000000.0,25000.0
Europe,Portugal,Paulinho,25,75,Grupo Desportivo de Chaves,6500000.0,8000.0
Europe,Italy,E. Schelotto,28,75,Brighton & Hove Albion,5500000.0,42000.0
Europe,Spain,Insua,23,75,FC Schalke 04,7500000.0,27000.0
South America,Brazil,Fernandao,30,75,Fenerbahçe SK,6500000.0,61000.0
North America,Mexico,R. Pizarro,23,75,Guadalajara,9000000.0,42000.0
South America,Argentina,G. Martinez,24,75,River Plate,9000000.0,18000.0
Europe,Germany,C. Clemens,25,75,1. FC Köln,8000000.0,31000.0
Europe,Portugal,Andre Simoes,27,75,AEK Athens,7500000.0,1000.0
South America,Venezuela,F. Amorebieta,32,75,Independiente,3800000.0,19000.0
South America,Brazil,Adilson Edrada,25,75,Santos Futebol Clube,7000000.0,18000.0
Europe,Moldova,A. Ionita,26,75,Cagliari,7000000.0,46000.0
South America,Colombia,A. Ibarguen,25,75,Racing Club de Avellaneda,8500000.0,20000.0
Europe,Netherlands,M. de Roon,26,75,Atalanta,8000000.0,26000.0
Europe,Italy,A. Barreca,22,75,Torino,1.0E7,31000.0
Europe,Ukraine,S. Kryvtsov,26,75,Shakhtar Donetsk,7000000.0,1000.0
South America,Colombia,S. Perez,24,75,Boca Juniors,9000000.0,20000.0
Europe,Netherlands,P. van Aanholt,26,75,Crystal Palace,6500000.0,44000.0
South America,Paraguay,G. Gomez,24,75,Milan,7000000.0,58000.0
Europe,Italy,A. Ciciretti,23,75,Benevento Calcio,9500000.0,24000.0
Europe,Spain,Edgar Mendez,26,75,Cruz Azul,8000000.0,29000.0
South America,Brazil,Juli Freitinho,29,75,Grêmio Foot-Ball Porto Alegrense,5000000.0,22000.0
Europe,France,E. Didot,33,75,En Avant de Guingamp,3900000.0,23000.0
Europe,Belarus,T. Kalachev,36,75,FC Rostov,775000.0,21000.0
Africa,Egypt,A. Hassan,24,75,SC Braga,9000000.0,12000.0
South America,Brazil,Caio Nunson,29,75,Botafogo de Futebol e Regatas,5000000.0,18000.0
Africa,South Africa,B. Zungu,24,75,Amiens SC Football,9000000.0,17000.0
South America,Brazil,Otavio Cairinho,25,75,Associação Atlética Ponte Preta,6000000.0,15000.0
South America,Brazil,Joao Pedro,25,75,Cagliari,8500000.0,44000.0
Europe,Italy,A. Poli,27,75,Bologna,7000000.0,46000.0
South America,Brazil,Leonardo,30,75,Al Nassr,6500000.0,36000.0
Europe,Montenegro,N. Vukcevic,25,75,SC Braga,7000000.0,11000.0
Asia,Georgia,V. Qazaishvili,24,75,San Jose Earthquakes,8500000.0,8000.0
Africa,Algeria,L. Cadamuro,29,75,Nîmes Olympique,5000000.0,6000.0
South America,Argentina,A. Chavez,26,75,Panathinaikos FC,8500000.0,1000.0
Europe,France,Y. Kaboul,31,75,Watford,4500000.0,44000.0
